Date de livraison,Longueur du tronçon en m,Running total
2019-10-03,122.0,11149.0
2019-10-04,5.0,11154.0
2019-10-05,3.0,11157.0
2019-10-06,3.0,11157.0
2019-10-07,3.0,11157.0
2019-10-08,3.0,11157.0
2019-10-09,3.0,11157.0
2019-10-10,8.0,11165.0
2019-10-11,2.0,11167.0
2019-10-12,2.0,11167.0
2019-10-13,2.0,11167.0
2019-10-14,2.0,11167.0
2019-10-15,2.0,11169.0
2019-10-16,2.0,11169.0
2019-10-17,2.0,11169.0
2019-10-18,5.0,11174.0
2019-10-19,5.0,11174.0
2019-10-20,5.0,11174.0
2019-10-21,5.0,11174.0
2019-10-22,5.0,11174.0
2019-10-23,5.0,11174.0
2019-10-24,5.0,11174.0
2019-10-25,5.0,11174.0
2019-10-26,5.0,11174.0
2019-10-27,5.0,11174.0
2019-10-28,5.0,11174.0
2019-10-29,5.0,11174.0
2019-10-30,5.0,11179.0
2019-10-31,188.0,11367.0
2019-11-01,188.0,11367.0
2019-11-02,188.0,11367.0
2019-11-03,188.0,11367.0
2019-11-04,188.0,11367.0
2019-11-05,188.0,11367.0
2019-11-06,6.0,11373.0
2019-11-07,6.0,11373.0
2019-11-08,1.0,11374.0
2019-11-09,10.0,11384.0
2019-11-10,10.0,11384.0
2019-11-11,10.0,11384.0
2019-11-12,10.0,11384.0
2019-11-13,2.0,11386.0
2019-11-14,3.0,11389.0
2019-11-15,2.0,11391.0
2019-11-16,2.0,11391.0
2019-11-17,2.0,11391.0
2019-11-18,2.0,11391.0
2019-11-19,2.0,11391.0
2019-11-20,2.0,11391.0
2019-11-21,2.0,11391.0
2019-11-22,2.0,11391.0
2019-11-23,2.0,11391.0
2019-11-24,2.0,11391.0
2019-11-25,1.0,11392.0
2019-11-26,1.0,11393.0
2019-11-27,1.0,11393.0
2019-11-28,1.0,11393.0
2019-11-29,3.0,11396.0
2019-11-30,178.0,11574.0
2019-12-01,178.0,11574.0
2019-12-02,178.0,11574.0
2019-12-03,2.0,11576.0
2019-12-04,2.0,11576.0
2019-12-05,2.0,11576.0
2019-12-06,2.0,11576.0
2019-12-07,2.0,11576.0
2019-12-08,2.0,11576.0
2019-12-09,2.0,11576.0
2019-12-10,2.0,11578.0
2019-12-11,2.0,11578.0
2019-12-12,2.0,11578.0
2019-12-13,2.0,11578.0
2019-12-14,2.0,11578.0
2019-12-15,2.0,11578.0
2019-12-16,2.0,11578.0
2019-12-17,12.0,11590.0
2019-12-18,12.0,11590.0
2019-12-19,12.0,11590.0
2019-12-20,16.0,11606.0
2019-12-21,16.0,11606.0
2019-12-22,16.0,11606.0
2019-12-23,16.0,11606.0
2019-12-24,16.0,11606.0
2019-12-25,16.0,11606.0
2019-12-26,16.0,11606.0
2019-12-27,16.0,11606.0
2019-12-28,16.0,11606.0
2019-12-29,16.0,11606.0
2019-12-30,16.0,11606.0
2019-12-31,68.0,11674.0
2020-01-01,68.0,11674.0
2020-01-02,68.0,11674.0
2020-01-03,68.0,11674.0
2020-01-04,68.0,11674.0
2020-01-05,68.0,11674.0
2020-01-06,68.0,11674.0
2020-01-07,68.0,11674.0
2020-01-08,68.0,11674.0
2020-01-09,68.0,11674.0
2020-01-10,68.0,11674.0
2020-01-11,68.0,11674.0
2020-01-12,68.0,11674.0
2020-01-13,68.0,11674.0
2020-01-14,68.0,11674.0
2020-01-15,68.0,11674.0
2020-01-16,68.0,11674.0
2020-01-17,68.0,11674.0
2020-01-18,68.0,11674.0
2020-01-19,68.0,11674.0
2020-01-20,68.0,11674.0
2020-01-21,68.0,11674.0
2020-01-22,68.0,11674.0
2020-01-23,68.0,11674.0
2020-01-24,68.0,11674.0
2020-01-25,68.0,11674.0
2020-01-26,68.0,11674.0
2020-01-27,68.0,11674.0
2020-01-28,68.0,11674.0
2020-01-29,68.0,11674.0
2020-01-30,68.0,11674.0
2020-01-31,28.0,11702.0
2020-02-01,28.0,11702.0
2020-02-02,28.0,11702.0
2020-02-03,28.0,11702.0
2020-02-04,28.0,11702.0
2020-02-05,28.0,11702.0
2020-02-06,28.0,11702.0
2020-02-07,28.0,11702.0
2020-02-08,28.0,11702.0
2020-02-09,28.0,11702.0
2020-02-10,28.0,11702.0
2020-02-11,28.0,11702.0
2020-02-12,28.0,11702.0
2020-02-13,28.0,11702.0
2020-02-14,28.0,11702.0
2020-02-15,28.0,11702.0
2020-02-16,28.0,11702.0
2020-02-17,28.0,11702.0
2020-02-18,28.0,11702.0
2020-02-19,28.0,11702.0
2020-02-20,28.0,11702.0
2020-02-21,28.0,11702.0
2020-02-22,28.0,11702.0
2020-02-23,28.0,11702.0
2020-02-24,28.0,11702.0
2020-02-25,28.0,11702.0
2020-02-26,28.0,11702.0
2020-02-27,28.0,11702.0
2020-02-28,28.0,11702.0
2020-02-29,15.0,11717.0
2020-03-01,15.0,11717.0
2020-03-02,15.0,11717.0
2020-03-03,58.0,11775.0
2020-03-04,58.0,11775.0
2020-03-05,58.0,11775.0
2020-03-06,58.0,11775.0
2020-03-07,58.0,11775.0
2020-03-08,58.0,11775.0
2020-03-09,58.0,11775.0
2020-03-10,58.0,11775.0
2020-03-11,58.0,11775.0
2020-03-12,58.0,11775.0
2020-03-13,58.0,11775.0
2020-03-14,58.0,11775.0
2020-03-15,58.0,11775.0
2020-03-16,58.0,11775.0
2020-03-17,58.0,11775.0
2020-03-18,58.0,11775.0
2020-03-19,58.0,11775.0
2020-03-20,58.0,11775.0
2020-03-21,58.0,11775.0
2020-03-22,58.0,11775.0
2020-03-23,58.0,11775.0
2020-03-24,58.0,11775.0
2020-03-25,58.0,11775.0
2020-03-26,58.0,11775.0
2020-03-27,58.0,11775.0
2020-03-28,58.0,11775.0
2020-03-29,58.0,11775.0
2020-03-30,58.0,11775.0
2020-03-31,137.0,11912.0
2020-04-01,137.0,11912.0
2020-04-02,137.0,11912.0
2020-04-03,137.0,11912.0
2020-04-04,137.0,11912.0
2020-04-05,137.0,11912.0
2020-04-06,137.0,11912.0
2020-04-07,137.0,11912.0
2020-04-08,137.0,11912.0
2020-04-09,137.0,11912.0
2020-04-10,137.0,11912.0
2020-04-11,137.0,11912.0
2020-04-12,137.0,11912.0
2020-04-13,137.0,11912.0
2020-04-14,137.0,11912.0
2020-04-15,137.0,11912.0
2020-04-16,137.0,11912.0
2020-04-17,137.0,11912.0
2020-04-18,137.0,11912.0
2020-04-19,137.0,11912.0
2020-04-20,137.0,11912.0
2020-04-21,137.0,11912.0
2020-04-22,137.0,11912.0
2020-04-23,137.0,11912.0
2020-04-24,137.0,11912.0
2020-04-25,137.0,11912.0
2020-04-26,137.0,11912.0
2020-04-27,137.0,11912.0
2020-04-28,137.0,11912.0
2020-04-29,137.0,11912.0
2020-04-30,61.0,11973.0
2020-05-01,61.0,11973.0
2020-05-02,61.0,11973.0
2020-05-03,61.0,11973.0
2020-05-04,61.0,11973.0
2020-05-05,61.0,11973.0
2020-05-06,61.0,11973.0
2020-05-07,61.0,11973.0
2020-05-08,61.0,11973.0
2020-05-09,1.0,11974.0
2020-05-10,1.0,11974.0
2020-05-11,1.0,11975.0
2020-05-12,1.0,11975.0
2020-05-13,1.0,11975.0
2020-05-14,1.0,11976.0
2020-05-15,1.0,11977.0
2020-05-16,1.0,11977.0
